"fecha_vigencia","precio","provincia","localidad","direccion"
"08/07/2023",249.3,"BUENOS AIRES","SALADILLO","RUTA 51 Y 63"
"08/12/2023",475,"BUENOS AIRES","SALADILLO","RUTA 51 Y 63"
"13/12/2023",649,"BUENOS AIRES","SALADILLO","RUTA 51 Y 63"
"18/08/2023",293.1,"BUENOS AIRES","SALADILLO","RUTA 51 Y 63"
"23/10/2023",302,"BUENOS AIRES","SALADILLO","RUTA 51 Y 63"
"25/11/2023",379,"BUENOS AIRES","SALADILLO","RUTA 51 Y 63"
"01/11/2023",331,"BUENOS AIRES","NORBERTO DE LA RIESTRA","SGTO. CABRAL 605"
"02/08/2023",260.5,"BUENOS AIRES","NORBERTO DE LA RIESTRA","SGTO. CABRAL 605"
"08/07/2023",249.3,"BUENOS AIRES","NORBERTO DE LA RIESTRA","SGTO. CABRAL 605"
"08/12/2023",475,"BUENOS AIRES","NORBERTO DE LA RIESTRA","SGTO. CABRAL 605"
"13/12/2023",649,"BUENOS AIRES","NORBERTO DE LA RIESTRA","SGTO. CABRAL 605"
"18/08/2023",293.1,"BUENOS AIRES","NORBERTO DE LA RIESTRA","SGTO. CABRAL 605"
"23/10/2023",302,"BUENOS AIRES","NORBERTO DE LA RIESTRA","SGTO. CABRAL 605"
"25/11/2023",379,"BUENOS AIRES","NORBERTO DE LA RIESTRA","SGTO. CABRAL 605"
"01/11/2023",311,"BUENOS AIRES","ITUZAINGO","BLAS PARERA 935"
"02/08/2023",245.1,"BUENOS AIRES","ITUZAINGO","BLAS PARERA 935"
"08/07/2023",235.6,"BUENOS AIRES","ITUZAINGO","BLAS PARERA 935"
"08/12/2023",449,"BUENOS AIRES","ITUZAINGO","BLAS PARERA 935"
"13/12/2023",615,"BUENOS AIRES","ITUZAINGO","BLAS PARERA 935"
"18/08/2023",275.7,"BUENOS AIRES","ITUZAINGO","BLAS PARERA 935"
"23/10/2023",284,"BUENOS AIRES","ITUZAINGO","BLAS PARERA 935"
"25/11/2023",356,"BUENOS AIRES","ITUZAINGO","BLAS PARERA 935"
"01/11/2023",331,"BUENOS AIRES","HINOJO","CALLE 5 S/N"
"02/08/2023",260.5,"BUENOS AIRES","HINOJO","CALLE 5 S/N"
"08/07/2023",249.3,"BUENOS AIRES","HINOJO","CALLE 5 S/N"
"08/12/2023",475,"BUENOS AIRES","HINOJO","CALLE 5 S/N"
"13/12/2023",649,"BUENOS AIRES","HINOJO","CALLE 5 S/N"
"18/08/2023",293.1,"BUENOS AIRES","HINOJO","CALLE 5 S/N"
"23/10/2023",302,"BUENOS AIRES","HINOJO","CALLE 5 S/N"
"25/11/2023",379,"BUENOS AIRES","HINOJO","CALLE 5 S/N"
"01/11/2023",331,"BUENOS AIRES","AMERICA","Moreno 147"
"02/08/2023",260.5,"BUENOS AIRES","AMERICA","Moreno 147"
"08/07/2023",249.3,"BUENOS AIRES","AMERICA","Moreno 147"
"08/12/2023",475,"BUENOS AIRES","AMERICA","Moreno 147"
"13/12/2023",649,"BUENOS AIRES","AMERICA","Moreno 147"
"18/08/2023",293.1,"BUENOS AIRES","AMERICA","Moreno 147"
"23/10/2023",302,"BUENOS AIRES","AMERICA","Moreno 147"
"25/11/2023",379,"BUENOS AIRES","AMERICA","Moreno 147"
"01/11/2023",311,"BUENOS AIRES","VERONICA","CALLE 29 Y DIAGONAL 61"
"02/08/2023",244.7,"BUENOS AIRES","VERONICA","CALLE 29 Y DIAGONAL 61"
"08/07/2023",234.2,"BUENOS AIRES","VERONICA","CALLE 29 Y DIAGONAL 61"
"08/12/2023",446,"BUENOS AIRES","VERONICA","CALLE 29 Y DIAGONAL 61"
"13/12/2023",613,"BUENOS AIRES","VERONICA","CALLE 29 Y DIAGONAL 61"
"18/08/2023",275.3,"BUENOS AIRES","VERONICA","CALLE 29 Y DIAGONAL 61"
